"sample","size_factor"
"non_treatment_1",0.996596675471035
"non_treatment_2",0.756433062198455
"non_treatment_3",1.1223172108654
"control_1",1.0535766566415
"control_2",1.05045387950687
"control_3",1.01636971753285
"siSOX10_1",1.04991624786096
"siSOX10_2",1.10454037381705
"siSOX10_3",0.880892811454716
"siSOX10_control_1",1.14402975175141
"siSOX10_control_2",0.942095512646381
"siSOX10_control_3",1.10437195539606
