"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene"
12615.8189346681,-7.09259720232715,0.170438752875803,-41.6137590932471,0,0,"ENSG00000148344.11"
6167.88154771286,-5.72198088861769,0.196086115309487,-29.1809589862421,3.38295646446315e-187,2.82155483918549e-183,"ENSG00000213949.10"
11286.5321926826,-2.52047527557238,0.0971891335933101,-25.9337148339995,2.77595445787383e-148,1.54352321039311e-144,"ENSG00000102265.13"
1662.69422424577,-4.70013266079088,0.201531457367863,-23.3220794519019,2.64717799570061e-120,1.10393940365705e-116,"ENSG00000125968.11"
3145.71551947348,-4.7338962345145,0.207694368067838,-22.7926076116243,5.42849253072923e-115,1.81105367810189e-111,"ENSG00000198959.13"
6162.6387987391,-4.57809465214424,0.206553448379588,-22.1642131276887,7.60881676130345e-109,2.11537787325505e-105,"ENSG00000005884.19"
17320.4476687685,-4.64811331504809,0.209849669131174,-22.1497290622013,1.04948195734429e-108,2.50091550435144e-105,"ENSG00000196611.6"
956.149640565559,-7.33928182785996,0.340844743402166,-21.5326243690966,7.70448513371238e-103,1.6064814564432e-99,"ENSG00000162745.11"
8908.87563026377,-3.88466223972442,0.188964201500646,-20.5576622919825,6.57241819835876e-94,1.21816119963136e-90,"ENSG00000134013.17"
1957.25929446259,-2.89347747198886,0.145230961004967,-19.9232825560515,2.5566818980622e-88,4.26480107415755e-85,"ENSG00000116285.14"
266.11080017279,-5.52976823260094,0.277720423289647,-19.9112768412919,3.24927287501625e-88,4.92737462074055e-85,"ENSG00000197632.10"
653.351418631432,3.41568074933183,0.176217631180628,19.3833087327718,1.06757124445865e-83,1.48401299406789e-80,"ENSG00000168824.16"
2946.22138750542,-4.08706665157905,0.21856281680724,-18.6997345261322,4.97517877979286e-78,6.3839197865942e-75,"ENSG00000105825.15"
2828.92905753759,-5.88671140806453,0.319559396264977,-18.4213372439322,8.85876810523578e-76,1.05552221973884e-72,"ENSG00000249992.2"
1028.7270311092,-2.91685955895951,0.159837900048449,-18.2488606148815,2.11269717479674e-74,2.34946010485229e-71,"ENSG00000167779.10"
3764.68681514407,-4.86344291912337,0.267448512213022,-18.1845951539624,6.83583555425134e-74,7.12678580502917e-71,"ENSG00000099250.19"
2572.56862568763,-4.00281885728928,0.222386938293809,-17.9993433427323,1.97142474163341e-72,1.93443153618747e-69,"ENSG00000121039.11"
1462.79149104349,-3.53225449057283,0.200639468541309,-17.6049832879496,2.25574189340615e-69,2.09044614021711e-66,"ENSG00000166949.18"
1477.86871581588,-4.14381297850235,0.235778473076956,-17.5750267801159,3.8270958389845e-69,3.3599887205316e-66,"ENSG00000113532.14"
767.466927424344,-2.62960150164234,0.15189392105111,-17.3120917772445,3.81306997067282e-67,3.18029100903966e-64,"ENSG00000088826.19"
8865.39908858732,-5.46725802199329,0.318374409496749,-17.1724166858615,4.27254709457296e-66,3.39382657545579e-63,"ENSG00000167772.13"
1785.85148742915,-3.86574348828098,0.233708491088747,-16.54087735654,1.86289284538061e-61,1.41249616153609e-58,"ENSG00000173848.20"
727.975441193831,-3.10297683270696,0.189131106911511,-16.40648586781,1.71869800077589e-60,1.24650440656272e-57,"ENSG00000142910.17"
5308.1933061828,-1.93549449277468,0.120218616266028,-16.0997901397542,2.55971282903813e-58,1.77910707088271e-55,"ENSG00000179163.13"
4686.70814618553,-9.90962226253517,0.632871755398222,-15.6581837915957,2.92120834650305e-55,1.94914705712069e-52,"ENSG00000125538.12"
556.303988899315,-4.73153373761585,0.305401505181132,-15.4928304456444,3.87833150855274e-54,2.48824799592955e-51,"ENSG00000139970.19"
411.065244138192,-3.22813252308421,0.20941735928997,-15.4148277584495,1.30117305494878e-53,8.03883989985204e-51,"ENSG00000124191.19"
1400.73175301796,-5.22248779048916,0.341131533317746,-15.3093082298689,6.62649645393316e-53,3.94773526243068e-50,"ENSG00000196878.16"
757.731684758542,-3.48582528758413,0.228207118161895,-15.2748315462764,1.12518408482547e-52,6.47213645481853e-50,"ENSG00000145569.7"
271.496713021812,-4.66163046809527,0.306236288857476,-15.2223320282751,2.51407204019323e-52,1.39790785674877e-49,"ENSG00000105246.7"
6397.35228430122,-4.10796785300133,0.27069655415171,-15.1755454216054,5.13491209760051e-52,2.76307963548626e-49,"ENSG00000011422.13"
47009.6070950322,1.58306453813027,0.104504106471372,15.1483476734374,7.76954860764024e-52,4.05012001012646e-49,"ENSG00000164111.16"
2575.29643105522,-2.33478596142481,0.156417373788065,-14.9266408512157,2.21128367632905e-50,1.11777039408621e-47,"ENSG00000117318.10"
287.198282965349,-4.30130935538474,0.291457193325994,-14.7579454337699,2.73485931091654e-49,1.34177024015879e-46,"ENSG00000197442.12"
264.545226809313,-5.3072256409304,0.360059451941443,-14.7398592435605,3.57529145017966e-49,1.70398390515563e-46,"ENSG00000283632.5"
1032.79502119445,2.78314846232851,0.191031563854362,14.5690502981503,4.41992778262402e-48,2.04802264838753e-45,"ENSG00000114166.9"
229.051361181334,-5.02215626982212,0.346050370379915,-14.5127897545912,1.00546657774131e-47,4.53302377927103e-45,"ENSG00000086730.18"
2624.49970125452,-4.44676476115418,0.310195188785478,-14.3353763111698,1.31531647039378e-46,5.77389316911545e-44,"ENSG00000163235.17"
922.148278747166,-5.38287675653704,0.377973571434529,-14.2414104142449,5.06934945717362e-46,2.16825175115675e-43,"ENSG00000164176.14"
5199.53009146769,1.44525610989341,0.101514818445949,14.2368979427661,5.4074634978313e-46,2.2550474651831e-43,"ENSG00000197006.16"
