"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene"
2946.22138750542,-1.97921853595716,0.2162742749221,-9.15142837339328,5.61856596862287e-20,8.4638077751335e-16,"ENSG00000105825.15"
82452.8542390289,1.75969111808245,0.203224195132323,8.65886621884112,4.76479627796687e-18,3.58884455656465e-14,"ENSG00000181019.13"
18085.5695667995,1.08032425591276,0.127436472313892,8.47735531513915,2.30370576332215e-17,1.04524524499004e-13,"ENSG00000161011.21"
229.051361181334,-2.62699756005456,0.310679721608858,-8.45564540373163,2.77547861123217e-17,1.04524524499004e-13,"ENSG00000086730.18"
2013.26211777561,1.29517068418595,0.158570450547893,8.16779343005507,3.14081110008746e-16,9.46263568234349e-13,"ENSG00000164308.19"
2610.35154868607,1.1947778334424,0.148987940577036,8.01929222469273,1.06356207655516e-15,2.67024985353783e-12,"ENSG00000133313.16"
81.4123529993515,-2.99430361781468,0.379388972087248,-7.89243715056133,2.9634157853206e-15,6.37727077000994e-12,"ENSG00000137033.13"
2128.9209013014,1.47720409037696,0.19058458028726,7.75091084572761,9.12357281915082e-15,1.7179687618461e-11,"ENSG00000111846.21"
904.189967470209,-1.9453056896934,0.254464611811667,-7.64470028206966,2.09432585547024e-14,3.50543607631152e-11,"ENSG00000160446.20"
93779.2453539489,1.29597357033199,0.172566808041221,7.50998169950749,5.91356293202764e-14,8.90819120080644e-11,"ENSG00000087086.17"
3071.85768298285,1.47685279715151,0.200744144384128,7.35689103999728,1.88242878078544e-13,2.57790065034108e-10,"ENSG00000084112.16"
7012.42506760843,1.21840944985382,0.168266828569457,7.24093667309413,4.45596444350326e-13,5.59372069807776e-10,"ENSG00000163430.14"
693.708343700343,1.10732123863263,0.154633841404162,7.16092433957231,8.01348708539062e-13,9.28578226571726e-10,"ENSG00000120696.9"
5533.86867585868,-0.841792196914035,0.118524086539822,-7.10228799469557,1.22708183683593e-12,1.32034005643546e-09,"ENSG00000164932.14"
7314.31998500271,0.853432056466031,0.121282416448664,7.03673361280089,1.96798576219795e-12,1.97638250144999e-09,"ENSG00000142657.22"
266.11080017279,-1.33879245267221,0.194406853152747,-6.88654968156042,5.7161803453499e-12,5.38178379514693e-09,"ENSG00000197632.10"
1803.91281760044,1.20134173190907,0.176114425234157,6.82137042614083,9.01760836896386e-12,7.99066191000421e-09,"ENSG00000168827.16"
978.33445482251,0.981990374676891,0.146314264985507,6.71151493515798,1.92614074760306e-11,1.61196579010514e-08,"ENSG00000141101.14"
657.632115735245,0.954488264447042,0.142820383340833,6.68313753345142,2.33879884361187e-11,1.85429819895627e-08,"ENSG00000143643.14"
1957.25929446259,-0.949156927667007,0.142366741287218,-6.66698499301976,2.6111178040405e-11,1.87304183809839e-08,"ENSG00000116285.14"
3253.94996494459,1.28021575445747,0.191817498713956,6.6741343362347,2.48695735440296e-11,1.87304183809839e-08,"ENSG00000152049.7"
372.395485647687,1.87702771681552,0.282384601235623,6.64706116623307,2.99002798873408e-11,2.0473537101041e-08,"ENSG00000047634.16"
669.234503662541,1.33230427392375,0.202088703346402,6.59267070282516,4.31984034201545e-11,2.82930760487482e-08,"ENSG00000112208.12"
1986.07077744259,1.01219390950269,0.153702680309035,6.58540181256157,4.53656816155924e-11,2.84745261607202e-08,"ENSG00000114200.11"
832.650817586743,1.18619776929204,0.181431477787895,6.5379932068832,6.23497557989316e-11,3.75694688542042e-08,"ENSG00000162337.13"
595.141874047458,0.921431772479393,0.141957701879134,6.49088961206152,8.53309871927175e-11,4.94394611950422e-08,"ENSG00000068024.19"
2828.92905753759,-2.02979774934638,0.313012349125915,-6.48472098629518,8.88961400093693e-11,4.95974612259681e-08,"ENSG00000249992.2"
1020.08210795795,-1.61771807751658,0.249702450338644,-6.47858311090917,9.25879279415878e-11,4.98123052325743e-08,"ENSG00000070404.11"
2945.77322218324,1.86710453698679,0.289346503803389,6.4528325465978,1.0977864057993e-10,5.70243255757266e-08,"ENSG00000137801.12"
9702.81121785738,0.742850442331369,0.117322185596689,6.33171329491779,2.42453701797697e-10,1.21744085462684e-07,"ENSG00000177156.12"
4908.04604951608,0.728314107956929,0.115597489295659,6.30043188995351,2.96817419128584e-10,1.4423411618558e-07,"ENSG00000121691.8"
1043.49039627563,-1.13319284222786,0.184280450070847,-6.14928410361599,7.78334526221067e-10,3.66400978218567e-07,"ENSG00000228594.4"
21638.7325194768,0.819894542200697,0.13428510919283,6.10562516669922,1.02399069350329e-09,4.53688111968634e-07,"ENSG00000143870.14"
8569.74234307879,1.11268194404082,0.182117178608785,6.10970339284152,9.9816473085712e-10,4.53688111968634e-07,"ENSG00000082781.13"
3638.08981877681,1.05930266446664,0.174002673444934,6.08785280992752,1.14435000972768e-09,4.92528244186793e-07,"ENSG00000132589.17"
6068.85724605713,0.684442884568165,0.113183220118087,6.04721162601724,1.47374124654337e-09,6.16678837164703e-07,"ENSG00000109861.18"
231.126220138722,1.71794161347441,0.285200624852105,6.02362499859625,1.70553276378959e-09,6.63525727300796e-07,"ENSG00000138439.12"
63.7789389572132,-2.88496474896676,0.479207367202392,-6.02028463337104,1.74110626903477e-09,6.63525727300796e-07,"ENSG00000054356.15"
167.841154126269,2.14718482952233,0.356300247293156,6.02633550168624,1.67718846120969e-09,6.63525727300796e-07,"ENSG00000106714.19"
324.942503110185,1.37250523318341,0.228052871603204,6.01836417816069,1.76188456532341e-09,6.63525727300796e-07,"ENSG00000103540.18"
13377.3608619001,0.875937718324059,0.146173692749099,5.99244434378196,2.06710191687552e-09,7.5948349453202e-07,"ENSG00000100234.13"
314.417511632473,1.57281741720769,0.264211865211982,5.95286444061013,2.6348953846205e-09,9.4504914461722e-07,"ENSG00000027075.18"
1379.1527578433,0.977039624393694,0.16487732771214,5.9258579572536,3.10671045019726e-09,1.08836014469236e-06,"ENSG00000069956.15"
111.715849432964,-2.20520872525287,0.372422094388762,-5.92126181147273,3.19480773519911e-09,1.09378599370544e-06,"ENSG00000203805.11"
6534.96331217863,0.979515178894494,0.165763545849304,5.90911091987,3.43959052651565e-09,1.15142203758737e-06,"ENSG00000068697.8"
2003.75095853713,0.988496243454715,0.168403872375892,5.8697952102212,4.36333766866172e-09,1.42889823132e-06,"ENSG00000130147.17"
6488.3658191939,0.932300902320167,0.160218113022991,5.81894821209373,5.92190770030595e-09,1.89803441696615e-06,"ENSG00000105655.20"
624.683028580496,1.01716377920067,0.175264881275655,5.80358011141368,6.49137157493719e-09,2.03720877926779e-06,"ENSG00000082293.13"
450.327890715383,1.36780159623887,0.237946675478558,5.74835346401854,9.01166977177951e-09,2.77044476412421e-06,"ENSG00000165806.22"
9023.09137936782,0.74925368886052,0.130473439503888,5.7425763566093,9.3246808518727e-09,2.80933984705221e-06,"ENSG00000138760.12"
96.5965423097479,-1.71273975286993,0.298791476281493,-5.73222427287834,9.91220869653778e-09,2.92779434911069e-06,"ENSG00000161243.11"
